http://medium.com (Status: 200) (Content-Type: text/html; charset=utf-8)
http://medium.com/about (Status: 200) (Content-Type: text/html; charset=utf-8)
http://medium.com/membership (Status: 200) (Content-Type: text/html; charset=utf-8)
http://medium.com/m/signin (Status: 200) (Content-Type: text/html; charset=utf-8)
http://medium.com/jobs-at-medium/work-at-medium-959d1a85284e (Status: 429) (Content-Type: text/html; charset=UTF-8)
http://medium.com/business (Status: 429) (Content-Type: text/html; charset=UTF-8)
https://medium.com/new-story (Status: 200) (Content-Type: text/html; charset=utf-8)
http://medium.com/plans (Status: 429) (Content-Type: text/html; charset=UTF-8)
http://medium.com/@kozyrkov (Status: 429) (Content-Type: text/html; charset=UTF-8)
http://medium.com/@edans (Status: 429) (Content-Type: text/html; charset=UTF-8)
http://medium.com/@wenqiglantz (Status: 429) (Content-Type: text/html; charset=UTF-8)
